,city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng,FUNCSTAT,2010,2011,2012,2013,2014,2015,2016
158,Burdette,Burdette,AR,Arkansas,5095,Monroe,34.8898,-91.1899,A,8123,8070,7843,7670,7612,7415,7169
159,Holly Grove,Holly Grove,AR,Arkansas,5097,Montgomery,34.3587,-93.6888,A,9490,9383,9320,9222,9107,8972,8879
160,Norman,Norman,AR,Arkansas,5099,Nevada,33.5432,-93.246,A,8974,9009,8911,8791,8689,8553,8398
161,Laneburg,Laneburg,AR,Arkansas,5101,Newton,35.7715,-93.0777,A,8329,8278,8087,8078,7914,7923,7936
162,Limestone,Limestone,AR,Arkansas,5103,Ouachita,33.4873,-92.9552,A,26077,25727,25405,24969,24799,24370,24098
163,Bearden,Bearden,AR,Arkansas,5105,Perry,34.974,-92.9788,A,10455,10392,10336,10337,10244,10182,10132
164,Casa,Casa,AR,Arkansas,5107,Phillips,34.3887,-90.8287,A,21670,21413,20762,20437,19938,19534,18975
165,Lambrook,Lambrook,AR,Arkansas,5109,Pike,34.2304,-93.8802,A,11273,11239,11270,11126,11002,10854,10832
166,Pike City,Pike City,AR,Arkansas,5111,Poinsett,35.4451,-90.3051,A,24526,24446,24293,24156,24155,24028,24023
167,Marked Tree,Marked Tree,AR,Arkansas,5113,Polk,34.4859,-94.3793,A,20669,20562,20440,20361,20252,20225,20173
168,Big Fork,Big Fork,AR,Arkansas,5115,Pope,35.2314,-93.0638,A,62110,62646,62631,62538,63094,63492,63779
169,Hector,Hector,AR,Arkansas,5117,Prairie,34.9901,-91.7368,A,8716,8578,8460,8364,8314,8280,8251
170,Hazen,Hazen,AR,Arkansas,5119,Pulaski,34.5895,-92.3257,A,383623,386776,388905,391312,392633,392932,393250
171,Ferndale,Ferndale,AR,Arkansas,5121,Randolph,36.3319,-90.8052,A,17967,17974,17854,17621,17540,17455,17448
172,Reyno,Reyno,AR,Arkansas,5123,St. Francis,35.022,-90.6814,A,28181,27960,27907,27408,27026,26578,26196
173,Madison,Madison,AR,Arkansas,5125,Saline,34.6988,-92.5813,A,107667,109901,111758,114287,115780,117358,118703
174,Bryant,Bryant,AR,Arkansas,5127,Scott,34.7795,-94.0491,A,11246,11223,10986,10874,10659,10510,10277
175,Parks,Parks,AR,Arkansas,5129,Searcy,35.9934,-92.5204,A,8176,8069,7988,7979,7908,7850,7967
176,Witts Springs,Witts Springs,AR,Arkansas,5131,Sebastian,35.1684,-94.0935,A,125817,126909,127418,127127,126827,127590,127793
177,Central City,Central City,AR,Arkansas,5133,Sevier,33.8335,-94.1177,A,17142,17166,17153,17297,17377,17226,16910
178,Provo,Provo,AR,Arkansas,5135,Sharp,36.3188,-91.4791,A,17280,17274,17061,17084,16904,16931,17157
179,Highland,Highland,AR,Arkansas,5137,Stone,35.8709,-92.3171,A,12394,12563,12610,12490,12445,12430,12539
180,Alco,Alco,AR,Arkansas,5139,Union,33.3636,-92.7314,A,41556,41375,40864,40603,40158,40158,39887
181,Urbana,Urbana,AR,Arkansas,5141,Van Buren,35.6442,-92.3137,A,17308,17197,17167,16992,16893,16780,16628
182,Damascus,Damascus,AR,Arkansas,5143,Washington,36.1898,-94.1573,A,204012,207833,211497,215979,219891,224233,228049
183,Winslow,Winslow,AR,Arkansas,5145,White,35.1262,-92.0954,A,77333,78116,78670,78635,78532,79013,79263
184,Pangburn,Pangburn,AR,Arkansas,5147,Woodruff,35.3581,-91.3229,A,7240,7189,7068,7042,6886,6727,6641
185,Grays,Grays,AR,Arkansas,5149,Yell,35.1129,-93.1688,A,22155,21935,21804,21768,21850,21607,21552
186,Belleville,Belleville,CA,California,6001,Alameda,37.716,-121.9088,A,1513653,1532019,1555542,1581226,1608868,1632747,1647704
187,Hayward,Hayward,CA,California,6003,Alpine,38.4722,-120.0491,A,1160,1109,1123,1141,1104,1106,1071
188,Mesa Vista,Mesa Vista,CA,California,6005,Amador,38.419,-120.8232,A,37869,37524,37089,36576,36739,37026,37383
189,Volcano,Volcano,CA,California,6007,Butte,39.4908,-121.615,A,219983,219987,221180,222116,223974,225251,226864
